Time,Open,High,Low,Close,Vol
1643030520000,33438.66,33514.73,33431.17,33501.63,52.55907
1643030580000,33501.63,33664.19,33473.87,33607.87,95.54768
1643030640000,33607.88,33662.33,33573.24,33605.23,66.81629
1643030700000,33605.23,33605.23,33524.36,33579.24,49.7732
1643030760000,33579.24,33652.31,33537.17,33644.92,64.90013
1643030820000,33644.92,33651.36,33577.84,33599.93,58.58257
1643030880000,33599.93,33611.34,33563.12,33595.25,34.28771
1643030940000,33595.25,33595.26,33495.94,33521.79,67.19691
1643031000000,33521.79,33624.99,33480.45,33596.96,45.86361
1643031060000,33596.96,33621.98,33551.45,33586.62,40.89943
1643031120000,33586.62,33620.0,33572.3,33602.02,32.67403
1643031180000,33602.01,33602.22,33483.54,33499.51,49.61838
1643031240000,33499.52,33499.52,33378.93,33415.94,78.08196
1643031300000,33415.95,33489.17,33349.39,33414.14,105.35488
1643031360000,33414.14,33433.35,33360.01,33413.29,40.74408
1643031420000,33413.28,33424.72,33300.21,33334.01,97.63899
1643031480000,33334.02,33408.32,33300.0,33365.09,58.58816
1643031540000,33365.09,33408.96,33351.5,33408.96,29.55949
1643031600000,33408.96,33408.96,33257.91,33278.12,62.87946
1643031660000,33278.13,33343.0,33250.0,33329.23,54.44152
1643031720000,33329.23,33385.17,33305.93,33359.79,77.24503
1643031780000,33359.79,33445.73,33333.51,33411.35,42.10523
1643031840000,33414.18,33449.86,33331.11,33342.0,58.56012
1643031900000,33341.99,33472.38,33334.5,33442.45,52.0568
1643031960000,33442.44,33442.45,33370.05,33400.0,30.88748
1643032020000,33400.01,33473.34,33381.0,33457.18,40.0975
1643032080000,33457.18,33550.0,33434.58,33464.01,97.99308
1643032140000,33464.01,33473.48,33411.02,33428.21,28.78993
1643032200000,33428.2,33446.3,33385.09,33386.17,31.19923
1643032260000,33388.69,33427.29,33359.99,33394.7,34.99522
1643032320000,33394.71,33531.66,33385.76,33529.49,43.82526
1643032380000,33529.5,33546.0,33484.21,33498.73,58.55312
1643032440000,33498.74,33511.87,33468.02,33470.01,30.20134
1643032500000,33468.03,33511.2,33421.71,33427.95,45.4192
1643032560000,33427.94,33438.0,33378.87,33391.44,34.67875
1643032620000,33391.43,33433.61,33379.08,33422.1,35.5271
1643032680000,33422.1,33591.01,33412.14,33532.81,146.14087
1643032740000,33532.81,33536.46,33328.51,33335.23,91.91944
1643032800000,33335.23,33345.99,33219.25,33243.13,174.01156
