Time,Open,High,Low,Close,Vol
1642864500000,35122.66,35250.0,34965.89,35023.78,653.01091
1642865400000,35023.78,35163.23,34876.71,35014.75,769.02545
1642866300000,35014.75,35032.45,34805.32,34838.68,700.38217
1642867200000,34838.69,35475.66,34520.59,35349.2,2088.66033
1642868100000,35349.2,35501.96,35135.97,35261.65,1087.4149
1642869000000,35261.64,35340.82,35106.93,35193.62,587.48503
1642869900000,35193.61,35200.0,34843.09,35100.02,715.21205
1642870800000,35095.23,35217.94,34700.0,34853.51,839.99555
1642871700000,34853.51,35025.97,34567.31,34631.23,758.24142
1642872600000,34621.9,34810.05,34615.0,34722.32,516.25474
1642873500000,34722.33,34850.0,34500.0,34610.01,567.16755
1642874400000,34610.0,34653.49,34243.38,34503.18,1092.55283
1642875300000,34503.18,34800.0,34379.7,34490.41,780.7513
1642876200000,34490.41,34520.18,34286.53,34403.0,515.72554
1642877100000,34403.0,34654.49,34372.97,34392.12,440.70835
1642878000000,34392.12,34680.0,34387.73,34636.74,358.26501
1642878900000,34636.74,34719.43,34346.54,34430.0,544.16281
1642879800000,34427.99,34689.32,34424.86,34628.19,415.98221
1642880700000,34628.18,34854.84,34444.0,34528.62,600.97839
1642881600000,34528.61,35400.0,34415.95,35277.56,1226.69789
1642882500000,35270.49,35500.0,34839.58,34931.01,1236.70169
1642883400000,34931.02,35185.27,34930.91,34938.1,523.01571
1642884300000,34938.1,35430.23,34680.59,35287.51,1236.79882
1642885200000,35287.5,35356.67,35078.55,35117.58,403.60636
1642886100000,35117.59,35380.95,35098.81,35229.66,441.352
1642887000000,35226.76,35534.15,35151.52,35484.0,509.3032
1642887900000,35484.0,35729.03,35317.9,35387.01,632.24483
1642888800000,35383.95,35395.26,35123.78,35249.99,365.23191
1642889700000,35250.1,35277.45,35000.0,35014.44,229.09971
1642890600000,35019.92,35109.53,34858.16,34919.15,252.32225
1642891500000,34919.15,34925.84,34728.12,34875.0,301.77586
1642892400000,34875.0,34965.64,34730.0,34947.97,310.41619
1642893300000,34947.97,35100.0,34880.07,35098.53,216.01669
1642894200000,35098.52,35107.0,34887.59,34903.11,203.97177
1642895100000,34903.1,35089.45,34880.65,35071.42,168.68877
1642896000000,35071.42,35286.5,34944.0,35165.94,512.98414
1642896900000,35165.93,35435.47,35103.64,35372.54,454.18553
1642897800000,35372.54,35449.99,35249.99,35253.96,358.56946
1642898700000,35253.95,35479.11,35252.0,35401.1,275.54741
1642899600000,35401.11,35404.95,35277.8,35313.87,314.07829
1642900500000,35313.87,35483.7,35268.34,35418.69,276.82727
1642901400000,35418.69,35526.28,35350.0,35404.35,439.65933
1642902300000,35404.35,35437.28,35300.48,35315.04,316.47717
1642903200000,35316.99,35346.21,35116.25,35143.55,308.2442
1642904100000,35143.48,35200.0,35106.87,35161.91,194.01325
1642905000000,35161.9,35266.49,35024.04,35033.91,417.00006
1642905900000,35035.65,35108.1,34834.92,34875.29,453.85286
1642906800000,34875.3,34964.46,34852.37,34880.07,309.09825
1642907700000,34880.07,34996.62,34811.0,34917.58,280.79988
1642908600000,34921.1,35091.18,34870.57,35052.2,196.64967
1642909500000,35052.2,35101.53,34985.92,35051.0,206.39456
1642910400000,35051.01,35193.74,34952.06,35190.84,258.0985
1642911300000,35190.83,35295.97,35109.66,35220.26,342.85266
1642912200000,35220.26,35280.88,35159.6,35192.09,305.61374
1642913100000,35192.09,35242.0,35139.04,35217.66,201.09548
1642914000000,35217.65,35293.97,34940.09,34992.33,703.84285
1642914900000,34992.32,35090.0,34944.26,35059.5,251.2243
1642915800000,35059.5,35215.6,35059.49,35136.09,219.5044
1642916700000,35136.09,35565.09,35067.16,35456.4,1053.07863
1642917600000,35456.4,35600.47,35286.0,35308.7,858.84208
1642918500000,35308.71,35515.33,35297.06,35311.47,433.99511
1642919400000,35311.47,35359.0,35165.22,35238.22,528.2335
1642920300000,35238.22,35307.5,35183.21,35279.83,306.5276
1642921200000,35279.84,35498.09,35221.79,35493.72,387.31355
1642922100000,35493.73,35719.99,35474.0,35689.08,1105.13995
1642923000000,35689.08,35758.64,35581.65,35677.09,590.37607
1642923900000,35677.09,35678.79,35544.79,35571.19,408.38616
1642924800000,35571.19,35961.23,35325.03,35687.79,1722.59633
1642925700000,35687.79,35796.97,35441.07,35474.99,685.55437
1642926600000,35474.99,35762.7,35453.8,35669.56,515.37658
1642927500000,35669.57,35846.77,35585.58,35846.77,398.8814
1642928400000,35846.77,35938.0,35738.61,35902.99,782.83608
1642929300000,35902.99,36030.8,35800.0,36013.05,748.869
1642930200000,36013.04,36150.76,35896.42,35920.0,1162.65279
1642931100000,35919.99,35974.99,35849.9,35882.35,402.73578
1642932000000,35877.41,35900.0,35711.0,35822.36,519.81053
1642932900000,35822.37,35862.99,35577.0,35821.97,660.68418
1642933800000,35821.97,35900.0,35766.61,35879.96,266.59718
1642934700000,35879.97,35948.74,35662.47,35902.12,559.78224
1642935600000,35902.12,35906.76,35800.56,35847.42,239.20233
1642936500000,35847.42,35869.07,35693.11,35726.29,383.39715
1642937400000,35726.29,35727.63,35608.38,35669.96,335.35652
1642938300000,35669.96,35726.8,35616.8,35686.29,228.33142
1642939200000,35686.29,35733.67,35600.0,35604.99,330.42716
1642940100000,35604.99,35785.81,35557.92,35701.92,703.29926
1642941000000,35701.91,35735.51,35621.44,35635.82,191.67085
1642941900000,35635.82,35832.36,35612.52,35803.21,252.46792
1642942800000,35803.21,35807.74,35700.45,35769.44,230.20322
1642943700000,35769.43,35900.62,35761.01,35859.08,254.89279
1642944600000,35859.09,35887.41,35786.56,35837.41,139.88081
1642945500000,35837.41,36055.0,35837.22,35969.27,442.47914
1642946400000,35969.28,36080.5,35740.58,35779.45,492.90783
1642947300000,35779.45,35784.99,35460.32,35620.0,709.26106
1642948200000,35619.99,35620.0,35374.8,35435.93,464.1016
1642949100000,35435.93,35487.64,35050.4,35323.85,1149.5666
1642950000000,35323.85,35368.58,35181.02,35200.01,353.90784
1642950900000,35200.0,35374.31,35200.0,35268.59,295.19871
1642951800000,35268.58,35268.59,35128.0,35188.76,264.55932
1642952700000,35188.76,35349.9,35111.56,35287.58,306.50921
1642953600000,35282.66,35450.0,35236.17,35320.9,464.47641
1642954500000,35320.89,35399.98,35180.0,35180.01,247.37379
1642955400000,35180.0,35275.73,35156.0,35210.09,241.8986
1642956300000,35210.09,35310.97,35187.3,35228.45,138.31036
