Time,Open,High,Low,Close,Vol
1639634400000,48519.31,49072.3,48504.07,48712.23,2420.96385
1639641600000,48712.23,48976.65,48608.62,48948.88,2069.51105
1639648800000,48948.88,49436.43,48864.47,49207.79,2664.71163
1639656000000,49207.79,49266.6,48378.65,49006.79,3995.31513
1639663200000,49006.79,49013.25,48243.58,48585.81,3413.20593
1639670400000,48578.61,48717.43,48060.0,48084.14,3372.14341
1639677600000,48084.15,48313.29,47666.0,47866.01,3198.69216
1639684800000,47866.01,48387.54,47832.34,48089.61,2276.88
1639692000000,48089.61,48167.84,47511.0,47632.38,2474.79931
1639699200000,47632.38,47995.96,47390.43,47848.33,2324.02039
1639706400000,47848.33,47876.28,47632.33,47766.07,1175.94439
1639713600000,47766.07,47953.22,47575.76,47702.81,1453.76182
1639720800000,47702.81,47738.07,46749.55,47007.25,4082.69829
1639728000000,47007.25,47288.27,46900.0,47228.94,2853.99827
1639735200000,47228.95,47298.54,46769.89,47112.43,3250.25366
1639742400000,47112.43,47363.36,46888.0,46950.03,2415.13277
1639749600000,46950.02,46999.99,45456.0,46528.83,12104.29076
1639756800000,46528.83,47440.1,46400.0,46761.71,5126.46504
1639764000000,46761.71,47111.0,46616.99,46765.66,2144.64299
1639771200000,46765.66,47093.16,46111.12,46852.91,2940.74588
1639778400000,46852.9,46965.58,45565.58,46131.2,3232.53444
1639785600000,46133.83,46380.1,45629.68,45661.11,3209.16574
1639792800000,45662.95,46545.83,45500.0,46283.05,2564.78859
1639800000000,46283.04,46858.27,46072.33,46592.29,2186.51545
1639807200000,46592.29,46770.9,46265.94,46364.08,1691.58234
1639814400000,46364.09,46854.28,46194.44,46841.63,2190.85095
1639821600000,46841.62,47392.37,46705.6,47070.44,2758.54554
1639828800000,47070.43,47168.74,46560.83,46639.22,1840.73356
1639836000000,46639.22,47219.16,46600.0,46858.55,1853.7698
1639843200000,46858.56,46992.14,46593.9,46665.13,2158.24498
1639850400000,46665.13,46777.84,46325.61,46643.68,1770.62573
1639857600000,46643.68,46980.0,46525.0,46948.38,1451.65234
1639864800000,46948.37,47100.0,46639.7,46834.48,1343.57769
1639872000000,46834.47,46887.69,46406.91,46579.22,1745.2781
1639879200000,46579.21,47990.75,46527.76,47712.38,3994.97491
1639886400000,47714.61,48074.16,47534.8,47600.0,2557.06313
1639893600000,47599.99,47736.0,47445.16,47515.09,1708.76653
1639900800000,47515.09,47641.77,47000.0,47102.02,2322.64508
1639908000000,47102.02,47222.0,46807.27,47152.72,1845.16111
1639915200000,47155.24,47777.0,46867.01,47629.95,2760.08338
1639922400000,47629.95,48300.01,47000.0,47239.8,4495.92561
1639929600000,47239.81,47500.0,47023.71,47141.22,1572.0111
1639936800000,47141.22,47178.91,46580.0,46673.93,2239.32361
1639944000000,46673.94,46902.27,46482.9,46730.35,1631.85954
1639951200000,46730.36,47550.0,46600.0,46681.23,2432.61455
1639958400000,46681.24,47200.0,46220.0,46619.56,3272.87167
1639965600000,46619.55,46846.0,46459.36,46687.22,2016.89639
1639972800000,46687.22,47049.87,46376.02,46433.18,2249.29835
1639980000000,46433.17,46664.96,46103.0,46429.19,2818.2486
1639987200000,46429.19,46554.0,45819.02,45839.4,3611.70817
1639994400000,45839.4,46142.94,45750.0,46092.6,2503.61555
1640001600000,46092.6,46092.6,45581.94,45713.94,2592.45791
1640008800000,45713.94,46313.89,45558.85,45974.08,4196.47639
1640016000000,45974.09,46500.0,45863.72,46116.61,2836.93547
1640023200000,46116.62,46690.0,46025.01,46585.55,3442.94034
1640030400000,46585.56,47537.57,46585.55,46961.23,4550.48748
1640037600000,46962.64,47108.92,46717.55,46914.16,1756.56977
1640044800000,46914.17,47162.27,46630.0,46946.72,2304.79825
1640052000000,46946.72,48085.0,46871.82,47928.47,3725.24198
1640059200000,47928.48,48824.16,47927.05,48600.51,6658.87969
1640066400000,48600.5,48704.17,48331.56,48579.77,2706.75753
1640073600000,48579.77,49000.0,48438.49,48591.72,4135.72772
1640080800000,48591.71,48899.0,48568.39,48866.92,1911.78854
1640088000000,48866.92,49328.96,48575.09,48909.49,4638.35292
1640095200000,48909.49,48966.2,48265.24,48418.49,3662.2893
1640102400000,48418.48,48876.94,48381.57,48655.17,2075.8292
1640109600000,48655.16,48684.93,48332.5,48619.79,1826.36244
1640116800000,48619.8,49177.0,48461.47,49084.25,2174.06558
1640124000000,49084.24,49287.93,48840.01,48889.88,1893.83609
1640131200000,48887.59,48992.5,48600.0,48818.89,1770.29003
1640138400000,48818.9,49576.13,48727.47,49249.0,2880.78809
1640145600000,49249.0,49347.9,48914.07,48964.88,1974.63509
1640152800000,48964.87,49300.0,48922.33,49206.42,1664.21388
1640160000000,49206.43,49535.0,48830.29,48941.35,2985.39546
1640167200000,48941.35,49234.69,48862.74,48981.99,1967.83113
1640174400000,48981.98,49123.62,48421.87,48560.0,3455.98336
1640181600000,48560.0,48949.99,48521.18,48879.28,2257.54309
