0,1,2,3,4,5
1639195200000,48330.0,48639.9,48289.0,48561.0,1472349.20042922
1639198800000,48595.0,48595.0,48206.48,48308.68,4750924.872306547
1639202400000,48310.73,48905.0,48023.96,48082.67,5863487.089962
1639206000000,48082.42,48203.72,47778.76,48087.0,3057125.40396317
1639209600000,48048.51,48920.0,47891.0,48417.0,4298773.137060696
1639213200000,48420.0,48630.77,48159.95,48525.81,2380729.413179389
1639216800000,48515.76,48599.0,48315.22,48392.11,2693685.97488336
1639220400000,48386.06,48481.46,48172.07,48245.17,2109631.00414
1639224000000,48272.64,48602.78,48199.35,48561.0,2412290.75729
1639227600000,48547.46,48976.28,48231.0,48376.0,2678958.13249096
1639231200000,48385.0,48651.29,48191.0,48504.0,1836452.374918
1639234800000,48527.93,48828.23,48478.0,48800.0,1703183.603879
1639238400000,48791.0,49373.03,48728.0,48989.88,3167201.086306514
1639242000000,48992.9,49041.56,48567.9,48692.36,3904616.07669763
1639245600000,48697.46,48876.48,48570.59,48688.53,2749797.813954919
1639249200000,48671.96,48796.2,48394.17,48426.0,2298564.517066
1639252800000,48433.11,48746.66,48412.06,48561.92,1884971.57551588
1639256400000,48562.19,48849.09,48408.61,48807.07,2126544.877896
1639260000000,48773.68,49162.0,48674.2,48843.18,855298.24482818
1639263600000,48843.0,49515.0,48829.49,49401.0,859956.07708085
1639267200000,49413.0,49704.0,49242.88,49370.67,2591809.540328954
1639270800000,49386.93,49496.43,49084.86,49206.49,2864137.27299
1639274400000,49221.02,49380.0,49043.97,49079.0,1662733.890887
1639278000000,49089.52,49412.83,49059.76,49353.2,1261667.930701
1639281600000,49339.3,49377.9,48848.56,48898.93,1907804.8038461
1639285200000,48897.0,49090.84,48854.5,48999.35,1298577.127583
1639288800000,49013.0,49252.81,48981.0,49191.41,1376286.65380234
1639292400000,49189.7,49423.82,49111.68,49364.5,1969707.44248
1639296000000,49374.29,49430.92,48994.19,49029.0,1248586.645037
1639299600000,49004.8,49193.63,48714.72,48819.2,1791379.201499172
1639303200000,48819.28,48978.0,48652.22,48924.27,2346926.291428
1639306800000,48929.72,49362.34,48869.61,49182.38,1542692.862701
1639310400000,49195.33,49666.0,49151.26,49546.0,3109395.1414225
1639314000000,49565.0,49926.0,49532.26,49838.83,3110558.06849524
1639317600000,49849.0,49995.54,49551.6,49881.04,2774694.15745665
1639321200000,49905.88,49950.0,49614.04,49661.0,1820064.45042043
1639324800000,49658.2,49920.48,49523.13,49905.2,1430742.14579
1639328400000,49928.65,50505.67,49815.9,50302.0,7328411.980326434
1639332000000,50332.83,50811.0,50290.48,50506.73,5103561.595082064
1639335600000,50523.24,50615.05,50086.06,50220.75,2694609.74010693
1639339200000,50263.85,50605.08,50179.99,50296.61,2135980.94321432
1639342800000,50284.99,50336.0,49865.61,49939.0,1860781.61852254
1639346400000,49949.0,50331.0,49936.28,50321.38,667394.21363566
1639350000000,50335.12,50395.0,49998.47,50122.78,1651175.88462725
1639353600000,50095.0,50225.94,49529.31,49641.65,4289943.271437
1639357200000,49622.16,49622.69,48574.42,48597.0,5661946.390763924
1639360800000,48546.81,48912.33,48480.0,48800.0,2623716.74039096
1639364400000,48799.0,49127.85,48683.56,48911.0,1314478.65045508
